Q9 v2.3 - Lista de propostas/votacoes

Q9 v2.3 - Propostas disponiveis
ano  | id_votacao  | proposicao                                             | sim | nao | outros | total
2025 | 2525180-26  | DTQ 1 => MPV 1303/2025                                 | 251 | 193 | 1      | 445  
2025 | 2515300-26  | PAR 1 => MPV 1300/2025                                 | 118 | 326 | 1      | 445  
2025 | 2438459-139 | REQ 2262/2024                                          | 441 | 3   | 1      | 445  
2025 | 2570007-69  | REQ 4320/2025                                          | 426 | 17  | 1      | 444  
2025 | 2525870-8   | REQ 2310/2025                                          | 346 | 97  | 1      | 444  
2025 | 2520670-40  | REQ 2529/2025                                          | 114 | 319 | 11     | 444  
2025 | 2500330-36  | REQ 2642/2025                                          | 174 | 268 | 2      | 444  
2025 | 2541109-38  | REQ 3288/2025                                          | 296 | 145 | 2      | 443  
2025 | 2233324-97  | REQ 1625/2022                                          | 139 | 302 | 2      | 443  
2025 | 2233324-100 | REQ 1625/2022                                          | 231 | 202 | 10     | 443  
2025 | 2579832-95  | REQ 4666/2025                                          | 142 | 298 | 2      | 442  
2025 | 2571484-12  | RPD 1 => REC 22/2025                                   | 95  | 344 | 3      | 442  
2025 | 2270800-172 | REQ 271/2021                                           | 132 | 309 | 1      | 442  
2025 | 2398530-73  | REQ 3989/2023                                          | 346 | 93  | 2      | 441  
2025 | 2358548-89  | REQ 2529/2023                                          | 291 | 148 | 2      | 441  
2025 | 2358548-51  | REQ 2529/2023                                          | 146 | 294 | 1      | 441  
2025 | 2318217-93  | RPD 1 => PLP 235/2019                                  | 165 | 276 |        | 441  
2025 | 2570007-63  | REQ 4320/2025                                          | 361 | 77  | 2      | 440  
2025 | 2564763-24  | (sem proposicao vinculada)                             | 268 | 167 | 5      | 440  
2025 | 2559194-42  | REQ 3789/2025                                          | 436 | 2   | 1      | 439  
2025 | 2515300-64  | PAR 1 => MPV 1300/2025                                 | 321 | 117 | 1      | 439  
2025 | 2500330-43  | REQ 2642/2025                                          | 264 | 169 | 6      | 439  
2025 | 2438459-135 | REQ 2262/2024                                          | 63  | 373 | 2      | 438  
2025 | 2279186-104 | REQ 860/2021                                           | 293 | 143 | 2      | 438  
2025 | 2541109-27  | REQ 3288/2025                                          | 156 | 280 | 1      | 437  
2025 | 2318217-77  | RPD 1 => PLP 235/2019                                  | 347 | 89  | 1      | 437  
2025 | 2284555-287 | REQ 1198/2021                                          | 426 | 10  | 1      | 437  
2025 | 2515300-30  | PAR 1 => MPV 1300/2025                                 | 326 | 109 | 1      | 436  
2025 | 2225224-125 | REQ 894/2021                                           | 417 | 17  | 2      | 436  
2025 | 2438459-113 | REQ 2262/2024                                          | 330 | 104 | 1      | 435  
2025 | 2358548-55  | REQ 2529/2023                                          | 147 | 287 | 1      | 435  
2025 | 2355104-126 | REQ 4616/2024                                          | 318 | 116 | 1      | 435  
2025 | 2497993-21  | PRLP 1 => PL 1708/2025                                 | 132 | 301 | 1      | 434  
2025 | 2398530-68  | REQ 3989/2023                                          | 101 | 332 | 1      | 434  
2025 | 2383019-91  | REQ 1691/2025                                          | 361 | 36  | 37     | 434  
2025 | 2318217-90  | RPD 1 => PLP 235/2019                                  | 313 | 119 | 2      | 434  
2025 | 2279186-86  | REQ 860/2021                                           | 286 | 146 | 2      | 434  
2025 | 2233324-103 | REQ 1625/2022                                          | 284 | 147 | 3      | 434  
2025 | 2553457-17  | REQ 3559/2025                                          | 313 | 119 | 1      | 433  
2025 | 2520670-52  | REQ 2529/2025                                          | 310 | 85  | 38     | 433  
2025 | 2515229-8   | REQ 2061/2025                                          | 286 | 144 | 3      | 433  
2025 | 2573921-8   | REQ 4344/2025                                          | 398 | 30  | 4      | 432  
2025 | 2536814-8   | REQ 2776/2025                                          | 431 |     | 1      | 432  
2025 | 2494408-30  | EMP 1 => PL 1466/2025                                  | 388 | 43  | 1      | 432  
2025 | 2482078-54  | REQ 474/2025                                           | 310 | 120 | 2      | 432  
2025 | 2454495-174 | REQ 4812/2024                                          | 353 | 76  | 3      | 432  
2025 | 408349-216  | REQ 6877/2010 => PL 3935/2008                          | 377 | 50  | 4      | 431  
2025 | 374450-132  | REQ 4061/2025                                          | 409 | 21  | 1      | 431  
2025 | 2566565-10  | REQ 4037/2025                                          | 300 | 130 | 1      | 431  
2025 | 2515228-8   | REQ 2060/2025                                          | 297 | 133 | 1      | 431  
2025 | 2502719-8   | REQ 1658/2025                                          | 426 | 4   | 1      | 431  
2025 | 2500260-34  | REQ 1658/2025                                          | 424 | 4   | 3      | 431  
2025 | 2318217-81  | RPD 1 => PLP 235/2019                                  | 119 | 310 | 2      | 431  
2025 | 2541109-88  | REQ 3288/2025                                          | 320 | 109 | 1      | 430  
