ano_dados;id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2023;1548579-144;FDRPSOL-REDE;Nao;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;GOVERNO;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;OPOSICAO;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;FDRPT-PCDOB-PV;Nao;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;PL;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;MINORIA;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;BLMDBPSDREPPODE;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;MAIORIA;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-144;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
2023;1548579-126;PL;Nao;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;OPOSICAO;Nao;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;NOVO;Nao;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;MINORIA;Nao;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;FDRPSOL-REDE;Nao;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
