Q7 - ranking de beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          429.18 |         4676.50
      2024 |                 575 |          239.33 |         6949.20
      2025 |                 562 |          389.79 |        12292.90
      2026 |                 552 |           96.38 |         2516.20
(4 rows)


Tabela principal - top 30 por beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      227324 | Henrique Júnior                     | MA       | PL            |   184239.21 |              10 |                     0 |             28 |      17.8 | 0.000096613527598169792413
 GLOBAL    |      226553 | Eliane Braz                         | CE       | PSD           |   114344.94 |               9 |                     0 |             41 |      17.6 |     0.00015392023468637965
 GLOBAL    |      229259 | Pedro Tourinho                      | SP       | PT            |    78180.83 |               8 |                     0 |             31 |      15.1 |     0.00019314197610846546
 GLOBAL    |      220637 | Marina Silva                        | SP       | REDE          |    10159.14 |               5 |                     0 |             66 |      14.1 |     0.00138791275639473420
 GLOBAL    |      235776 | Sérgio Turra                        | RS       | PP            |    53286.96 |               6 |                     0 |             49 |      13.9 |     0.00026085181064935962
 GLOBAL    |      233218 | Nelinho Freitas                     | CE       | MDB           |   173089.99 |               5 |                     0 |             54 |      12.9 | 0.000074527706657097848350
 GLOBAL    |      220643 | Sônia Guajajara                     | SP       | PSOL          |      523.95 |               5 |                     0 |             43 |      11.8 |     0.02252123294207462544
 GLOBAL    |       73808 | Sérgio Brito                        | BA       | PSD           |   193203.99 |               3 |                     0 |             73 |      11.8 | 0.000061075343216255523501
 GLOBAL    |      160531 | Jhonatan de Jesus                   | RR       | REPUBLICANOS  |    81927.19 |               7 |                     0 |              9 |      11.4 |     0.00013914794343611687
 GLOBAL    |      229939 | Newton Bonin                        | PR       | UNIAO         |   172069.17 |               3 |                     0 |             61 |      10.6 | 0.000061603133205094207173
 GLOBAL    |      228272 | Délio Pinheiro                      | MG       | PDT           |    97742.25 |               5 |                     0 |             27 |      10.2 |     0.00010435609984423317
 GLOBAL    |      129618 | Gorete Pereira                      | CE       | MDB           |   160407.34 |               5 |                     0 |             26 |      10.1 | 0.000062964699745036604933
 GLOBAL    |      230764 | Ivan Junior                         | MA       | UNIAO         |   126968.00 |               4 |                     0 |             33 |       9.3 | 0.000073246802343897675005
 GLOBAL    |      235620 | Ilacir Bicalho                      | MG       | REPUBLICANOS  |    36404.00 |               4 |                     0 |             32 |       9.2 |     0.00025271948137567300
 GLOBAL    |      225846 | Itamar Paim                         | PR       | PL            |    44757.90 |               4 |                     0 |             18 |       7.8 |     0.00017427091083361820
 GLOBAL    |      204433 | Marcelo Calero                      | RJ       | PSD           |    33235.92 |               4 |                     0 |             13 |       7.3 |     0.00021964188143430361
 GLOBAL    |      212625 | Dr. Gonçalo                         | MA       | PODE          |     1137.69 |               3 |                     0 |             23 |       6.8 |     0.00597702361803303185
 GLOBAL    |      234406 | Elmano Férrer                       | PI       | PP            |   114099.77 |               1 |                     0 |             45 |       6.0 | 0.000052585557359142792312
 GLOBAL    |       74052 | Bosco Costa                         | SE       | PL            |   173716.14 |               1 |                     0 |             25 |       4.0 | 0.000023026070001325150329
 GLOBAL    |      235712 | Vavá                                | MG       | AVANTE        |    11302.64 |               0 |                     0 |             39 |       3.9 |     0.00034505212941401301
 GLOBAL    |      235800 | Jorge Araújo                        | BA       | PP            |    30474.56 |               0 |                     0 |             32 |       3.2 | 0.000105005617800552329550
 GLOBAL    |      204558 | Marcelo Nilo                        | BA       | REPUBLICANOS  |    38985.71 |               0 |                     0 |             29 |       2.9 | 0.000074386230236668769146
