Q8 complemento - ranking completo de influencia legislativa global
 id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
      220653 | Fábio Teruel                        |                 103 |                     0 |              
       74065 | Fatima Pelaes                       |                  29 |                     0 |              
      220712 | Fausto Jr.                          |                 548 |                     0 |              
       66828 | Fausto Pinato                       |                 704 |                     0 |              
      220646 | Felipe Becari                       |                 855 |                     0 |              
       72442 | Felipe Carreras                     |                 743 |                     0 |              
      204398 | Felipe Francischini                 |                 698 |                     0 |              
      227370 | Felipe Saliba                       |                  30 |                     0 |              
      160666 | Félix Mendonça Júnior               |                 613 |                     0 |              
      204407 | Fernanda Melchionna                 |                2263 |                     0 |              
      220656 | Fernanda Pessoa                     |                 856 |                     0 |              
      141431 | Fernando Coelho Filho               |                  95 |                     0 |              
      204445 | Fernando Mineiro                    |                 584 |                     0 |              
       92699 | Fernando Monteiro                   |                 156 |                     0 |              
      204427 | Fernando Rodolfo                    |                 456 |                     0 |              
      204411 | Filipe Barros                       |                 314 |                     0 |              
      220545 | Filipe Martins                      |                 472 |                     0 |              
      160598 | Flávia Morais                       |                1880 |                     0 |              
      225727 | Flavinha                            |                  14 |                     0 |              
      191923 | Flávio Nogueira                     |                 600 |                     0 |              
      220700 | Florentino Neto                     |                 617 |                     0 |              
      220551 | Franciane Bayer                     |                 601 |                     0 |              
      204494 | Fred Costa                          |                 635 |                     0 |              
      220534 | Fred Linhares                       |                1028 |                     0 |              
      224117 | Gabriel Mota                        |                 233 |                     0 |              
      220708 | Gabriel Nunes                       |                 155 |                     0 |              
      204473 | General Girão                       |                 741 |                     0 |              
      220611 | General Pazuello                    |                 674 |                     0 |              
      178966 | Geovania de Sá                      |                 305 |                     0 |              
      220702 | Geraldo Mendes                      |                 340 |                     0 |              
       74374 | Geraldo Resende                     |                 969 |                     0 |              
      220587 | Gerlen Diniz                        |                 227 |                     0 |              
      204394 | Gervásio Maia                       |                 512 |                     0 |              
       74383 | Giacobo                             |                 287 |                     0 |              
      204491 | Gilberto Abramo                     |                1463 |                     0 |              
       74270 | Gilberto Nascimento                 |                 320 |                     0 |              
      220529 | Gilson Daniel                       |                2655 |                     0 |              
      204365 | Gilson Marques                      |                6499 |                     0 |              
      220526 | Gilvan da Federal                   |                 409 |                     0 |              
      220531 | Gilvan Maximo                       |                 752 |                     0 |              
      160673 | Giovani Cherini                     |                 522 |                     0 |              
      226179 | Gisela Simona                       |                 494 |                     0 |              
      152605 | Glauber Braga                       |                 345 |                     0 |              
      229333 | Gláucia Santiago                    |                  13 |                     0 |              
      204419 | Glaustin da Fokus                   |                 180 |                     0 |              
      107283 | Gleisi Hoffmann                     |                 253 |                     0 |              
      129618 | Gorete Pereira                      |                   5 |                     0 |              
      198197 | Greyce Elias                        |                 501 |                     0 |              
      220639 | Guilherme Boulos                    |                 761 |                     0 |              
      204531 | Guilherme Derrite                   |                  34 |                     0 |              
      220664 | Guilherme Uchoa                     |                 197 |                     0 |              
      220568 | Gustavo Gayer                       |                2061 |                     0 |              
      204408 | Gustinho Ribeiro                    |                 168 |                     0 |              
      204456 | Gutemberg Reis                      |                 277 |                     0 |              
      178964 | Heitor Schuch                       |                 500 |                     0 |              
      178873 | Helder Salomão                      |                1730 |                     0 |              
      220537 | Helena Lima                         |                 310 |                     0 |              
      178909 | Hélio Leite                         |                  31 |                     0 |              
      204444 | Helio Lopes                         |                1153 |                     0 |              
      234788 | Heloísa Helena                      |                 117 |                     0 |              
      220672 | Henderson Pinto                     |                 416 |                     0 |              
      227324 | Henrique Júnior                     |                  10 |                     0 |              
      204539 | Hercílio Coelho Diniz               |                 167 |                     0 |              
      100689 | Hildo do Candango                   |                  22 |                     0 |              
      178884 | Hildo Rocha                         |                 301 |                     0 |              
      141450 | Hugo Leal                           |                 707 |                     0 |              
      160674 | Hugo Motta                          |                 653 |                     0 |              
      220563 | Icaro de Valmir                     |                 724 |                     0 |              
      204533 | Idilvan Alencar                     |                 238 |                     0 |              
      204508 | Igor Timo                           |                  93 |                     0 |              
      235620 | Ilacir Bicalho                      |                   4 |                     0 |              
       74295 | Inácio Arruda                       |                  15 |                     0 |              
       98615 | Ismael                              |                 359 |                     0 |              
      204436 | Isnaldo Bulhões Jr.                 |                 857 |                     0 |              
      225846 | Itamar Paim                         |                   4 |                     0 |              
      230764 | Ivan Junior                         |                   4 |                     0 |              
