Q9 - Vies ideologico dos deputados (direita / esquerda / centro)

Q9.1 - Catalogo de partidos por ideologia
 ideologia |                                  partidos                                  | qtd_partidos 
-----------+----------------------------------------------------------------------------+--------------
 centro    | AVANTE, CIDADANIA, MDB, MISSAO, PODE, PRD, PSD, PSDB, SOLIDARIEDADE, UNIAO |           10
 direita   | NOVO, PL, PP, REPUBLICANOS                                                 |            4
 esquerda  | PCDOB, PDT, PSB, PSOL, PT, PV, REDE                                        |            7
(3 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia 
---------------+-----------
 AVANTE        | centro
 CIDADANIA     | centro
 MDB           | centro
 MISSAO        | centro
 PODE          | centro
 PRD           | centro
 PSD           | centro
 PSDB          | centro
 SOLIDARIEDADE | centro
 UNIAO         | centro
 NOVO          | direita
 PL            | direita
 PP            | direita
 REPUBLICANOS  | direita
 PCDOB         | esquerda
 PDT           | esquerda
 PSB           | esquerda
 PSOL          | esquerda
 PT            | esquerda
 PV            | esquerda
 REDE          | esquerda
(21 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia | votos_sim | votos_nao | outros | total_votos | pct_sim 
      2023 | 1713431-120 | PRL 1 CCJC => PL 2932/2015                                       | centro    |         4 |        10 |      0 |          14 |    28.6
      2023 | 1713431-120 | PRL 1 CCJC => PL 2932/2015                                       | direita   |         1 |        16 |      0 |          17 |     5.9
      2023 | 1713431-120 | PRL 1 CCJC => PL 2932/2015                                       | esquerda  |        13 |         0 |      0 |          13 |   100.0
      2023 | 1713431-125 | PRL 1 CCJC => PL 2932/2015                                       | centro    |         5 |        11 |      0 |          16 |    31.3
      2023 | 1713431-125 | PRL 1 CCJC => PL 2932/2015                                       | direita   |         2 |        21 |      0 |          23 |     8.7
      2023 | 1713431-125 | PRL 1 CCJC => PL 2932/2015                                       | esquerda  |        16 |         0 |      0 |          16 |   100.0
      2023 | 1713431-127 | PRL 1 CCJC => PL 2932/2015                                       | centro    |        17 |         1 |      0 |          18 |    94.4
      2023 | 1713431-127 | PRL 1 CCJC => PL 2932/2015                                       | direita   |        19 |         0 |      0 |          19 |   100.0
      2023 | 1713431-127 | PRL 1 CCJC => PL 2932/2015                                       | esquerda  |         0 |        16 |      0 |          16 |     0.0
      2023 | 1738740-118 | PRL 1 CCJC => PL 3079/2015                                       | centro    |         5 |        13 |      0 |          18 |    27.8
      2023 | 1738740-118 | PRL 1 CCJC => PL 3079/2015                                       | direita   |        14 |         5 |      0 |          19 |    73.7
      2023 | 1738740-118 | PRL 1 CCJC => PL 3079/2015                                       | esquerda  |         2 |        12 |      0 |          14 |    14.3
      2023 | 1738740-144 | PRL 1 CCJC => PL 3079/2015                                       | centro    |         3 |         7 |      0 |          10 |    30.0
      2023 | 1738740-144 | PRL 1 CCJC => PL 3079/2015                                       | direita   |        16 |         7 |      0 |          23 |    69.6
      2023 | 1738740-144 | PRL 1 CCJC => PL 3079/2015                                       | esquerda  |         0 |        11 |      0 |          11 |     0.0
      2023 | 1738740-150 | PRL 1 CCJC => PL 3079/2015                                       | centro    |         6 |         4 |      0 |          10 |    60.0
      2023 | 1738740-150 | PRL 1 CCJC => PL 3079/2015                                       | direita   |         8 |         6 |      0 |          14 |    57.1
      2023 | 1738740-150 | PRL 1 CCJC => PL 3079/2015                                       | esquerda  |        16 |         0 |      0 |          16 |   100.0
      2023 | 2076754-115 | PRL 1 CPASF => PL 4302/2016                                      | centro    |         0 |         2 |      0 |           2 |     0.0
      2023 | 2076754-115 | PRL 1 CPASF => PL 4302/2016                                      | direita   |         1 |         8 |      0 |           9 |    11.1
      2023 | 2076754-115 | PRL 1 CPASF => PL 4302/2016                                      | esquerda  |         1 |         0 |      0 |           1 |   100.0
      2023 | 2076754-124 | PRL 1 CPASF => PL 4302/2016                                      | centro    |         2 |         1 |      0 |           3 |    66.7
      2023 | 2076754-124 | PRL 1 CPASF => PL 4302/2016                                      | direita   |         7 |         1 |      0 |           8 |    87.5
      2023 | 2076754-124 | PRL 1 CPASF => PL 4302/2016                                      | esquerda  |         0 |         1 |      0 |           1 |     0.0
      2023 | 2115253-104 | REQ 1364/2023                                                    | centro    |        47 |        94 |      0 |         141 |    33.3
      2023 | 2115253-104 | REQ 1364/2023                                                    | direita   |       131 |        13 |      1 |         145 |    90.3
      2023 | 2115253-104 | REQ 1364/2023                                                    | esquerda  |         4 |       102 |      0 |         106 |     3.8
      2023 | 2115253-111 | REQ 1364/2023                                                    | centro    |        43 |       102 |      0 |         145 |    29.7
      2023 | 2115253-111 | REQ 1364/2023                                                    | direita   |       140 |        16 |      1 |         157 |    89.2
      2023 | 2115253-111 | REQ 1364/2023                                                    | esquerda  |         2 |       109 |      0 |         111 |     1.8
      2023 | 2115253-116 | REQ 1364/2023                                                    | centro    |        36 |       102 |      0 |         138 |    26.1
      2023 | 2115253-116 | REQ 1364/2023                                                    | direita   |       135 |        14 |      1 |         150 |    90.0
      2023 | 2115253-116 | REQ 1364/2023                                                    | esquerda  |         2 |       100 |      0 |         102 |     2.0
      2023 | 2115253-118 | REQ 1364/2023                                                    | centro    |        93 |        41 |      0 |         134 |    69.4
      2023 | 2115253-118 | REQ 1364/2023                                                    | direita   |        17 |       136 |      1 |         154 |    11.0
      2023 | 2115253-118 | REQ 1364/2023                                                    | esquerda  |       103 |         1 |      0 |         104 |    99.0
      2023 | 2115253-156 | REQ 1364/2023                                                    | centro    |        27 |       106 |      0 |         133 |    20.3
      2023 | 2115253-156 | REQ 1364/2023                                                    | direita   |        76 |        69 |      0 |         145 |    52.4
      2023 | 2115253-156 | REQ 1364/2023                                                    | esquerda  |         0 |        96 |      1 |          97 |     0.0
