 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Institucional e juridico    |        24 |        23 |          0 |          47
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Institucional e juridico    |        30 |        33 |          1 |          64
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Institucional e juridico    |        81 |        45 |          0 |         126
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Institucional e juridico    |        15 |        13 |          1 |          29
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Internacional               |         1 |         5 |          0 |           6
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Internacional               |         2 |         2 |          0 |           4
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Internacional               |         4 |         9 |          1 |          14
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Internacional               |         1 |         1 |          0 |           2
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Seguranca                   |         2 |         5 |          0 |           7
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Seguranca                   |        21 |        10 |          0 |          31
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Seguranca                   |        14 |        15 |          0 |          29
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Seguranca                   |         6 |        12 |          0 |          18
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Social                      |        19 |        24 |          0 |          43
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Social                      |        12 |        19 |          0 |          31
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Social                      |        67 |        44 |          2 |         113
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Social                      |         9 |        12 |          0 |          21
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Ambiental e energetico      |         9 |         4 |          0 |          16
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Ambiental e energetico      |        20 |        11 |          0 |          32
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Ambiental e energetico      |        25 |        17 |          0 |          42
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Ambiental e energetico      |         7 |         2 |          0 |           9
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Cultura e sociedade         |        11 |         3 |          1 |          21
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Cultura e sociedade         |         2 |         0 |          0 |           2
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Cultura e sociedade         |        26 |        19 |          0 |          45
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Cultura e sociedade         |        10 |         2 |          0 |          12
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Economico                   |        66 |        47 |          6 |         142
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Economico                   |        75 |        66 |          0 |         162
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Economico                   |        69 |        38 |          0 |         111
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Economico                   |        23 |        11 |          0 |          34
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Infraestrutura e tecnologia |        12 |         9 |          0 |          23
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Infraestrutura e tecnologia |        13 |        12 |          0 |          25
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Infraestrutura e tecnologia |        21 |        12 |          0 |          33
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Infraestrutura e tecnologia |         0 |         0 |          0 |           1
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Institucional e juridico    |        29 |        23 |          0 |          63
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Institucional e juridico    |        36 |        25 |          0 |          69
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Institucional e juridico    |        65 |        45 |          0 |         110
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Institucional e juridico    |        28 |         8 |          0 |          37
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Internacional               |         7 |         1 |          0 |           8
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Internacional               |         4 |         2 |          0 |           6
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Internacional               |        15 |         1 |          0 |          16
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Internacional               |         1 |         2 |          0 |           3
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Seguranca                   |         2 |         5 |          0 |           8
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Seguranca                   |        22 |         9 |          0 |          32
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Seguranca                   |        12 |         3 |          0 |          15
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Seguranca                   |        14 |         7 |          0 |          23
      2023 |      221328 | ADILSON BARROSO OLIVEIRA                            | Social                      |        23 |        15 |          3 |          50
      2024 |      221328 | ADILSON BARROSO OLIVEIRA                            | Social                      |        18 |        12 |          0 |          39
      2025 |      221328 | ADILSON BARROSO OLIVEIRA                            | Social                      |        62 |        50 |          0 |         112
      2026 |      221328 | ADILSON BARROSO OLIVEIRA                            | Social                      |        14 |        10 |          0 |          24
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Ambiental e energetico      |         9 |         5 |          0 |          14
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Ambiental e energetico      |        18 |         8 |          0 |          26
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Ambiental e energetico      |        27 |        14 |          0 |          41
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Ambiental e energetico      |         5 |         3 |          0 |           8
