      escolaridade       | id_deputado |                        nome                         
 Pós-Graduação           |      220561 | KATARINA FEITOZA LIMA SANTANA
 Pós-Graduação           |       80815 | LEONARDO SILVA PRATES
 Pós-Graduação           |      178954 | LUCIO ANTONIO MOSQUINI
 Pós-Graduação           |      204376 | LUIZ ARMANDO SCHROEDER REIS
 Pós-Graduação           |      220687 | MARCIO JOSE HONAISER
 Pós-Graduação           |      204506 | MARCOS ANTONIO PEREIRA
 Pós-Graduação           |      220604 | MARCOS PAULO BARBOSA TAVARES
 Pós-Graduação           |      204540 | MARIA DO PARTO MENDES ROSAS
 Pós-Graduação           |      129618 | MARIA GORETE PEREIRA
 Pós-Graduação           |      220537 | MARIA HELENA TEIXEIRA LIMA
 Pós-Graduação           |      220668 | MARIA LEAL ARRAES DE ALENCAR
 Pós-Graduação           |      220701 | MATHEUS ARAUJO LAIOLA
 Pós-Graduação           |      178895 | MISAEL ARTUR FERREIRA VARELLA
 Pós-Graduação           |      178896 | NEWTON CARDOSO JUNIOR
 Pós-Graduação           |       73692 | OSMAR GASPARINI TERRA
 Pós-Graduação           |      204573 | OTTO ROBERTO MENDONÇA DE ALENCAR FILHO
 Pós-Graduação           |      222142 | PAULO ADRIANO LOPES LUCINDA TELHADA
 Pós-Graduação           |      171617 | PAULO FERNANDO DOS SANTOS
 Pós-Graduação           |      220654 | PAULO FRANCISCO MUNIZ BILYNSKYJ
 Pós-Graduação           |      220685 | PAULO HENRIQUE COLETTI FERNANDES
 Pós-Graduação           |      220586 | RAFAEL DE GOES BRITO
 Pós-Graduação           |      220533 | Reginaldo Veras Coelho
 Pós-Graduação           |      204362 | RICARDO ZANATTA GUIDI
 Pós-Graduação           |      220588 | ROBERTO DUARTE JUNIOR
 Pós-Graduação           |      220644 | ROSANGELA MARIA WOLFF DE QUADROS MORO
 Pós-Graduação           |      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA
 Pós-Graduação           |      178933 | SERGIO DE SOUZA
 Pós-Graduação           |      220597 | THIAGO LEITE FLORES PEREIRA
 Pós-Graduação           |      204416 | UBIRATAN ANTUNES SANDERSON
 Pós-Graduação           |       74283 | VICENTE PAULO DA SILVA
 Pós-Graduação           |      220528 | VICTOR GAROZI LINHALIS
 Pós-Graduação           |      160518 | WELITON FERNANDES PRADO
 Primário Incompleto     |      160535 | DIONILSO MATEUS MARCON
 Secundário              |       74550 | JOÃO FELIPE DE SOUZA LEÃO
 Secundário              |      141480 | LÁZARO BOTELHO MARTINS
 Secundário Incompleto   |      230762 | CLAUDIO MARIANO SILVA
 Superior                |      220593 | ABILIO JACQUES BRUNINI MOUMER
 Superior                |      204379 | ACÁCIO DA SILVA FAVACHO NETO
 Superior                |      221328 | ADILSON BARROSO OLIVEIRA
 Superior                |      204560 | ADOLFO VIANA DE CASTRO NETO
 Superior                |      220565 | ADRIANA SAUTHIER ACCORSI
 Superior                |       74646 | AÉCIO NEVES DA CUNHA
 Superior                |      178835 | AFONSO ANTUNES DA MOTTA
 Superior                |      235088 | AIRES DO ESPIRITO SANTO RIBEIRO NETO
 Superior                |       74696 | ALBERTO PEREIRA MOURÃO
 Superior                |      220690 | ALDEN JOSE LAZARO DA SILVA
 Superior                |      204501 | ALENCAR SANTANA BRAGA
 Superior                |      220674 | ALESSANDRA HABER CARVALHO SANTOS
 Superior                |      220554 | ALEXANDRE DUARTE LINDENMEYER
 Superior                |      160545 | ALEXANDRE LEITE DA SILVA
 Superior                |      178972 | ALEX SPINELLI MANENTE
 Superior                |       74057 | ALICE MAZZUCO PORTUGAL
 Superior                |      204353 | ALINE PARANHOS VARONIL GURGEL
 Superior                |      226708 | ALLAN QUADROS GARCÊS
 Superior                |      178937 | ALTINEU CÔRTES FREITAS COUTINHO
 Superior                |      178881 | ALUISIO GUIMARAES MENDES FILHO
 Superior                |      220596 | AMÁLIA SCUDELER DE BARROS SANTOS
 Superior                |      220707 | AMANDA KELLY GENTIL GUIMARÃES ROSA
 Superior                |      220704 | ANA CAROLINA MOURA MELO DARTORA
 Superior                |      225727 | ANA FLÁVIA RODRIGUES RAMIRO
 Superior                |      225730 | ANA PAULA BRANDÃO DA SILVA FARIAS
 Superior                |      220556 | ANA PAULA DE SOUZA LIMA
 Superior                |      107970 | ANA PAULA PROCOPIO JUNQUEIRA
 Superior                |      178831 | ANDRE DOS SANTOS ABDON
 Superior                |      204423 | ANDRÉ FERREIRA RODRIGUES
 Superior                |      220676 | ANDREIA BRITO GONÇALVES SIQUEIRA
 Superior                |      204515 | ANDRE LUIS GASPAR JANONES
 Superior                |      178882 | ANDRE LUIZ CARVALHO RIBEIRO
 Superior                |      123756 | ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA
 Superior                |      204479 | ANTONIO CARLOS NICOLETTI
 Superior                |      204504 | ANTONIO CEZAR CORREIA FREIRE
 Superior                |      212625 | ANTONIO ELIZABETH GONÇALO DE SOUSA
 Superior                |      204549 | ANTONIO JOSE AGUIAR ALBUQUERQUE
 Superior                |      220675 | ANTONIO LEOCÁDIO DOS SANTOS
 Superior                |      160553 | ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO
 Superior                |      204550 | ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR
 Superior                |      204524 | ANTÔNIO PINHEIRO NETO
 Superior                |      220544 | ANTONIO POINCARE ANDRADE FILHO
 Superior                |      178934 | ANTONIO WANDSCHEER
 Superior                |      141391 | ARNALDO CALIL PEREIRA JARDIM
 Superior                |      160541 | ARTHUR CÉSAR PEREIRA DE LIRA
 Superior                |      123086 | ÁTILA DE MELO LIRA
 Superior                |       74090 | ÁTILA SIDNEY LINS DE ALBUQUERQUE
 Superior                |      160665 | AUGUSTO RODRIGUES COUTINHO DE MELO
 Superior                |      204374 | BEATRIZ KICIS TORRENTS DE SORDI
 Superior                |       73701 | BENEDITA SOUZA DA SILVA SAMPAIO
 Superior                |      221339 | BENJAMIM DE OLIVEIRA
 Superior                |      220635 | BRUNO AREVALO GANEM
 Superior                |      143942 | CAIO SANTOS VIANNA
 Superior                |      220548 | CAMILA BAZACHI JARA MARZOCHI
 Superior                |      204361 | CARLOS ALBERTO CHIODINI
 Superior                |      220683 | CARLOS ALBERTO RICHA
 Superior                |      141398 | CARLOS ALBERTO ROLIM ZARATTINI
 Superior                |       74262 | CARLOS HENRIQUE FOCESI SAMPAIO
 Superior                |      204460 | Carlos Roberto Jordy Coelho de Mattos
 Superior                |      164360 | CARMEN EMÍLIA BONFÁ ZANOTTO
 Superior                |      220584 | CÁSSIO MURILO GALDINO DE ARAÚJO
 Superior                |      178876 | CELIO ANTONIO DA SILVEIRA
 Superior                |      204488 | CELIO STUDART BARBOSA
 Superior                |       73441 | CELSO UBIRAJARA RUSSOMANNO
 Superior                |      205476 | CHARLES FERNANDES SILVEIRA SANTANA
 Superior                |      204462 | CHRISTINE NOGUEIRA DOS REIS TONIETTO
 Superior                |       74537 | CLÁUDIO CAJADO SAMPAIO
 Superior                |      141408 | CLEBER VERDE CORDEIRO MENDES
 Superior                |       88256 | CLODOALDO MAGALHÃES OLIVEIRA LYRA
 Superior                |      220608 | CRISTIANE LOPES DA LUZ
 Superior                |      141411 | DAGOBERTO NOGUEIRA FILHO
 Superior                |      220555 | DAIANA SILVA DOS SANTOS
 Superior                |      220557 | DANIELA CRISTINA REINEHR
 Superior                |      204367 | DANIEL COSTA DE FREITAS
 Superior                |       74060 | DANIEL GOMES DE ALMEIDA
 Superior                |      228941 | DANIEL JOSÉ DA SILVA OLIVEIRA
 Superior                |      204409 | DANIEL TRZECIAK DUARTE
 Superior                |      116379 | DARCI DE MATOS
 Superior                |       73486 | DARCI POMPEO DE MATTOS
 Superior                |      220534 | DAVYS FREDERICO TEIXEIRA LINHARES
 Superior                |      228272 | DELIO PINHEIRO NETO
 Superior                |      220553 | DENISE DA SILVA PESSÔA
 Superior                |      178929 | DIEGO ALEXSANDER GONCALO PAULA GARCIA
 Superior                |      220691 | DIEGO HENRIQUE SILVA CERQUEIRA MARTINS
 Superior                |       73768 | DILCEU JOÃO SPERAFICO
 Superior                |      160599 | DIMAS FABIANO TOLEDO JÚNIOR
 Superior                |      220573 | DORINALDO BARBOSA MALAFAIA
 Superior                |      220540 | DUDA BRITO RAMOS
 Superior                |      220623 | DUDA SALABERT ROSA
 Superior                |      178908 | EDER MAURO CARDOSO BARRA
 Superior                |      220605 | EDUARDO CARVALHO BANDEIRA DE MELLO
 Superior                |      204541 | EDUARDO HENRIQUE MAIA BISMARCK
 Superior                |       92346 | EDUARDO NANTES BOLSONARO
 Superior                |      220589 | EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA
 Superior                |      204364 | ELI DIAS BORGES
 Superior                |      220008 | ELIZA VIRGINIA DE SOUZA FERNANDES
 Superior                |      234406 | ELMANO FÉRRER DE ALMEIDA
 Superior                |      224333 | ELTON CARLOS WELTER
 Superior                |      198783 | EMANUEL PINHEIRO DA SILVA PRIMO
 Superior                |      160575 | ÉRIKA JUCÁ KOKAY
 Superior                |      220645 | ERIKA SANTOS SILVA
 Superior                |      204482 | EUCLYDES MARCOS PETTERSEN NETO
 Superior                |       74454 | EUNÍCIO LOPES DE OLIVEIRA
 Superior                |      220621 | EVANDRO GONÇALVES DA SILVA JÚNIOR
 Superior                |      220653 | Fábio Eduardo de Oliveira Teruel
 Superior                |       68720 | FABIO HENRIQUE SANTANA DE CARVALHO
