Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                             fornecedor                                             | qtd_lancamentos | total_pago  
      2023 |       4 | PASSAGEM AÉREA - SIGEPA                                   | MAP                                                                                                |             149 |   126959.92
      2023 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR S.A                                                              |             119 |    12609.02
      2023 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO E PRATA S A                                                                            |              46 |    11918.47
      2023 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | Planalto Transportes ltda                                                                          |              77 |    11278.29
      2023 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO DE TRANSPORTES LIMITADA                                                            |              48 |    10106.67
      2023 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO GARCIA LTDA                                                                                 |              24 |     4971.90
      2023 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA E SEGURANCA LTDA                                                                 |              18 |   146059.15
      2023 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SERVIÇOS DE SEGURANÇA LTDA                                                                 |              16 |   139200.00
      2023 |       3 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | A4 VIGILANCIA E SEGURANCA PATRIMONIAL EIRELI - EPP                                                 |              15 |   127499.60
      2023 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | Maria Zeneide da Silva Lima Cardoso ME                                                             |              10 |    84575.00
      2023 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | J S MORAIS SEGURANÇA LTDA                                                                          |               8 |    60800.00
      2023 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER DO BRASIL TECNOLOGIA LTDA.                                                                    |           10503 |   315540.16
      2023 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA                                                            |             479 |   197978.41
      2023 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | TÁXI LEGAL                                                                                         |            2485 |   126657.40
      2023 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | CENTRO DE GESTÃO DE MEIOS DE PGTO. LTDA. - SEM PARAR                                               |             125 |    47659.06
      2023 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | COOPERTAXI 202 NORTE                                                                               |             228 |    27953.91
      2023 |       1 | TELEFONIA                                                 | Telefônica Brasil S.A. VIVO                                                                        |            1839 |   871992.21
      2023 |       2 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                                  |            3482 |   723194.20
      2023 |       3 | TELEFONIA                                                 | TELEFÔNICA BRASIL S.A                                                                              |             629 |   304346.70
      2023 |       4 | TELEFONIA                                                 | Claro NXT Telecomunicações S.A                                                                     |             781 |   132691.93
      2023 |       5 | TELEFONIA                                                 | TELEFONICA BRASIL S.A.                                                                             |             193 |    87899.66
      2024 |       1 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CK INFO DESIGN E MIDIA SOCIAIS                                                                     |               1 |     7500.00
      2024 |       2 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | Dropbox International Unlimited Company                                                            |               1 |     4248.00
      2024 |       3 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | RMZ FUKAMI COMERCIO DE COMBUSTIVEIS LTDA ME                                                        |               1 |      440.78
      2024 |       4 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | certsign certificadora digital s.a                                                                 |               1 |      374.90
      2024 |       5 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | Alvaro Certificadora LTDA                                                                          |               1 |      350.00
      2024 |       1 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI                                                          |              11 |    19112.80
      2024 |       2 | ASSINATURA DE PUBLICAÇÕES                                 | RBS ZERO HORA EDITORA JORNALISTICA S-A                                                             |             102 |     7945.22
      2024 |       3 | ASSINATURA DE PUBLICAÇÕES                                 | S.A O ESTADO DE S.PAULO                                                                            |              21 |     5389.16
      2024 |       4 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES DISTRIBUICAO E LOGISTICA LTDA                                                            |               2 |     5264.50
      2024 |       5 | ASSINATURA DE PUBLICAÇÕES                                 | EDITORA GLOBO S/A                                                                                  |              22 |     4542.05
      2024 |       1 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS LTDA                                                                     |            1430 |   285178.00
      2024 |       2 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO 303 NORTE LTDA                                                                          |            1199 |   247277.46
      2024 |       3 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                           |             901 |   193579.60
      2024 |       4 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                             |             814 |   163326.53
