Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
       74371 | RUBENS OTONI GOMIDE                                 | GO       | PT            |  1652194.22
      220530 | Manoel Messias Donato Bezerra                       | ES       | UNIAO         |  1651603.02
      220607 | MAX RODRIGUES LEMOS                                 | RJ       | UNIAO         |  1651068.16
       66385 | JULIO FERRAZ ARCOVERDE                              | PI       | PP            |  1650284.49
       74467 | DAMIÃO FELICIANO DA SILVA                           | PB       | UNIAO         |  1649545.52
      220528 | VICTOR GAROZI LINHALIS                              | ES       | PSB           |  1649533.24
      220582 | DANIEL BARBOSA DE ALMEIDA SILVA                     | AL       | PP            |  1648540.70
      220628 | MAURICIO LUIZ DE SOUZA                              | MG       | PL            |  1648478.33
      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA                      | MG       | UNIAO         |  1645724.16
      141456 | JILMAR AUGUSTINHO TATTO                             | SP       | PT            |  1644573.39
       74156 | JOSÉ LEONARDO COSTA MONTEIRO                        | MG       | PT            |  1642190.80
      150418 | MÁRCIO CARLOS MARINHO                               | BA       | REPUBLICANOS  |  1641459.36
      220606 | REIMONT LUIZ OTONI SANTA BARBARA                    | RJ       | PT            |  1641238.87
      221328 | ADILSON BARROSO OLIVEIRA                            | SP       | PL            |  1639750.16
      204410 | LUISA CANZIANI DOS SANTOS SILVEIRA                  | PR       | UNIAO         |  1639467.87
      178858 | MARIO S. M. NEGROMONTE JR.                          | BA       | PSB           |  1638584.15
      160610 | VALMIR CARLOS DA ASSUNÇÃO                           | BA       | PT            |  1638218.61
      220704 | ANA CAROLINA MOURA MELO DARTORA                     | PR       | PT            |  1637237.86
      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS                   | PE       | PSB           |  1635566.00
      220651 | SIMONE APARECIDA MARQUETO CURRALADAS                | SP       | PP            |  1635561.11
      178895 | MISAEL ARTUR FERREIRA VARELLA                       | MG       | PSD           |  1633523.94
      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA        | PE       | MDB           |  1633391.01
       66828 | FAUSTO RUY PINATO                                   | SP       | UNIAO         |  1632028.35
       74171 | FRANCISCO RODRIGUES DE ALENCAR FILHO                | RJ       | PSOL          |  1632005.37
      220594 | JONILDO JOSÉ DE ASSIS                               | MT       | PL            |  1630487.76
      220632 | ANA CRISTINA DE LIMA PIMENTEL                       | MG       | PT            |  1628901.97
      215043 | JOSIVALDO DOS SANTOS MELO                           | MA       | UNIAO         |  1627047.86
      220625 | IONE MARIA MOREIRA DIAS BARBOSA                     | MG       | PL            |  1625963.56
      204501 | ALENCAR SANTANA BRAGA                               | SP       | PT            |  1625951.26
       74550 | JOÃO FELIPE DE SOUZA LEÃO                           | BA       | PP            |  1623888.06
      204398 | LUIS FELIPE BONATTO FRANCISCHINI                    | PR       | PODE          |  1622388.00
      204480 | ROGÉRIO CORREIA DE MOURA BAPTISTA                   | MG       | PT            |  1621040.98
      220554 | ALEXANDRE DUARTE LINDENMEYER                        | RS       | PT            |  1620038.10
      178986 | NILTO IGNACIO TATTO                                 | SP       | PT            |  1619585.45
      204511 | DAVID BEZERRA RIBEIRO SOARES                        | SP       | PODE          |  1619293.70
       74084 | RAIMUNDO JOSÉ PEREIRA DOS SANTOS                    | PA       | PSD           |  1619227.96
       74270 | GILBERTO NASCIMENTO SILVA                           | SP       | PODE          |  1619159.99
      220682 | ANTONIO TADEU VENERI                                | PR       | PT            |  1618983.86
      220572 | MARUSSA CASSIA FAVARO BOLDRIN                       | GO       | REPUBLICANOS  |  1616861.22
      160527 | AGUINALDO VELLOSO BORGES RIBEIRO                    | PB       | PP            |  1616398.08
      220550 | MAURICIO BEDIN MARCON                               | RS       | PL            |  1613429.31
      160556 | JOÃO CARLOS SIQUEIRA                                | MG       | PT            |  1613172.92
      121948 | ADRIANO ANTÔNIO AVELAR                              | GO       | PP            |  1612546.29
      220617 | MURILLO GOUVEA RODRIGUES                            | RJ       | PSDB          |  1609806.26
      204368 | FÁBIO LUIZ SCHIOCHET FILHO                          | SC       | UNIAO         |  1609721.73
      220694 | RICARDO MAIA CHAVES DE SOUZA                        | BA       | MDB           |  1609191.92
      204540 | MARIA DO PARTO MENDES ROSAS                         | SP       | REPUBLICANOS  |  1608577.24
      204508 | IGOR TARCIANO TIMO                                  | MG       | UNIAO         |  1607168.11
      160629 | ROMERO RODRIGUES VEIGA                              | PB       | PODE          |  1603679.41
