"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Fdr PSOL-REDE";"";"Sim"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Governo";"";"Sim"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Maioria";"";"Sim"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Oposição";"";"Liberado"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Fdr PT-PCdoB-PV";"";"Sim"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Minoria";"";"Não"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Bl UniPpFdrPsdbCid...";"";"Sim"
"2414600-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2414600-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423.";"Bl MdbPsdRepPode";"";"Liberado"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Fdr PSOL-REDE";"";"Não"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Governo";"";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Oposição";"";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Fdr PT-PCdoB-PV";"";"Não"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Minoria";"";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Bl MdbPsdRepPode";"";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Maioria";"";"Sim"
"1548579-144";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-144";"PLEN";"Mantido o texto. Sim: 301; não: 81; total: 382.";"Bl UniPpFdrPsdbCid...";"";"Sim"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Oposição";"";"Não"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Minoria";"";"Não"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Fdr PSOL-REDE";"";"Não"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Fdr PT-PCdoB-PV";"";"Sim"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Governo";"";"Sim"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Bl UniPpFdrPsdbCid...";"";"Sim"
"1548579-126";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1548579-126";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403.";"Bl MdbPsdRepPode";"";"Sim"
