"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"71690";"https://dadosabertos.camara.leg.br/api/v2/eventos/71690";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377978";"2023-12-20T11:05:26";"2023-12-20T11:55:14";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 15";"";"";""
"71683";"https://dadosabertos.camara.leg.br/api/v2/eventos/71683";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2375554";"2023-12-20T11:04:13";"2023-12-20T13:21:43";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 05";"";"";""
"71735";"https://dadosabertos.camara.leg.br/api/v2/eventos/71735";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377746";"2023-12-20T10:51:57";"2023-12-20T11:39:58";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"71519";"https://dadosabertos.camara.leg.br/api/v2/eventos/71519";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377073";"2023-12-20T10:46:52";"2023-12-20T12:32:31";"Encerrada (Final)";"Discussão e votação de proposições";"Reunião Deliberativa";"";"Anexo II, Plenário 06";"";"";""
"71525";"https://dadosabertos.camara.leg.br/api/v2/eventos/71525";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376412";"2023-12-20T10:00:00";"";"Cancelada";"Discussão e votação de propostas legislativas.";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"71709";"https://dadosabertos.camara.leg.br/api/v2/eventos/71709";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2375984";"2023-12-20T10:00:00";"";"Cancelada";"Comparecimento da Ministra da Saúde, Nísia Trindade, para explicar a ameaça ao
parlamento, especificamente à Comissão de Fiscalização Financeira e Controle, realizada em live com o presidente Lula (REQ 559/23)";"Reunião de Comparecimento de Ministro(a)";"";"Anexo II, Plenário 09";"";"";""
"71688";"https://dadosabertos.camara.leg.br/api/v2/eventos/71688";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2375582";"2023-12-20T10:00:00";"";"Cancelada";"Sr. Sandoval Feitosa, Diretor-Geral da Agência Nacional de Energia Elétrica - ANEEL;
Sr. Edson Holanda, Diretor Executivo do Instituto Brasileiro de Regulação - IBR;
Sr. Marcelo Zanatta Estevam, Presidente da Âmbar Energia;
Sr. Gilberto Bueno, Presidente da Karpowership;
Sr. Paulo Pedrosa, Presidente da Associação Brasileira de Grandes Consumidores de Energia Elétrica - ABRACE;
Sr. Luiz Eduardo Barata, Presidente da Frente Nacional de Consumidores de Energia -  FNCE; (CONFIRMADO)
Sr. Anton Schwyter, Consultor Técnico do Instituto de Defesa de Consumidor - IDEC. (CONFIRMADO)";"Audiência Pública";"";"Anexo II, Plenário 14";"";"";""
"71691";"https://dadosabertos.camara.leg.br/api/v2/eventos/71691";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377468";"2023-12-20T10:06:34";"2023-12-20T11:36:59";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 10";"";"";""
"71732";"https://dadosabertos.camara.leg.br/api/v2/eventos/71732";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377599";"2023-12-20T10:27:03";"2023-12-20T12:46:59";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"71720";"https://dadosabertos.camara.leg.br/api/v2/eventos/71720";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2378669";"2023-12-19T17:32:16";"2023-12-19T19:26:53";"Encerrada (Final)";"(REQ 49 e 54/2023 CDE, do deputado Félix Mendonça Júnior)


1) MARCELO MENDONÇA
Diretor Técnico-Comercial da Associação Brasileira das Empresas Distribuidoras de Gás Canalizado - ABEGÁS
(Confirmado)

2) RENATA ISFER
Presidenta da Associação Brasileira do Biogás - ABIOGÁS
(Confirmada - participação por vídeo conferência)

3) CELSO MATTOS
Presidente do Sindicato das Indústrias de Reparação de Veículos e Acessórios - SINDIREPA e Vice-Presidente da Federação das Indústrias do Estado do Rio de Janeiro - FIRJAN
(Confirmado)

4)  ADRIANO NOGUEIRA
Presidente do Sindicato do Comércio Varejista de Combustíveis,  Lubrificantes e Lojas de Conveniência no Estado do Rio de Janeiro - SINDESTADO RJ
(Confirmado)

5) ALECIONILDO SODRÉ
Diretor de GNV do Sindicato do Comércio Varejista de Combustíveis e Lubrificantes e de Lojas de Conveniência do Município do Rio de Janeiro - SINDCOMB
(Confirmado - participação por vídeoconferência)

6) RAPHAEL CHEDE   
Diretor da Federação Nacional da Insperação Veicular - FENIVE
(Confirmado)";"Audiência Pública";"";"Anexo II, Plenário 11";"";"";""
"71628";"https://dadosabertos.camara.leg.br/api/v2/eventos/71628";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2373501";"2023-12-19T16:30:30";"2023-12-19T18:20:10";"Encerrada (Final)";"1) ALBERTO MACHADO NETO (Confirmado)
   Diretor-Executivo de Petróleo, Gás Natural, Bioenergia, Hidrogênio e Petroquímica
   Associação Brasileira da Indústria de Máquinas e Equipamentos I ABIMAQ
2) ARIOVALDO SANTANA DA ROCHA (Confirmado)
   Presidente
   SINAVAL
3) DEYVID BACELAR   Coordenador-Geral
   Federação Única dos Petroleiros
4) JOAQUIM MAIA (Confirmado)
   Presidente
   Associação Brasileira de Engenharia Industrial
5) MARCELO RODRIGUES ALHO (Confirmado)
   Chefe da Auditoria Especializada em Petróleo, Gás Natural e Mineração
   Tribunal de Contas da União
6) RAFAEL DE BASTOS DA SILVA (Confirmado)
   Diretor do Departamento de Política de Exploração e Produção de Petróleo e Gás Natural do MME
   Representante do Ministério de Minas e Energia I MME
7) ROBERTO ARDENGHY   Presidente
   Instituto Brasileiro de Petróleo e Gás
8) ROBERTO BARBIERI (Confirmado)
   Assessor
   Associação Brasileira da Indústria Elétrica e Eletrônica
9) TELMO GHIORZI (Confirmado)
   Secretário Executivo
   Associação Brasileira das Empresas de Serviços de Petróleo
10) THYAGO GROTTI VIEIRA (Confirmado)
   Superintendente
   Agência Nacional do Petróleo, Gás Natural e Biocombustíveis
11) WILLIAN FERREIRA DA SILVA (Confirmado)
   Diretor do Sinpospetro e da Força Sindical do DF
   Confederação Nacional dos Trabalhadores Metalúrgicos";"Audiência Pública";"";"Anexo II, Plenário 09";"";"";""
"71412";"https://dadosabertos.camara.leg.br/api/v2/eventos/71412";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2367090";"2023-12-19T16:00:00";"";"Cancelada";"1) IVAN BARON 
   Influenciador e ativista anticapacitista

2) FÁTIMA DE KWANT 
   Jornalista e escritora especialista em autismo

3) PRISCILA SIRQUEIRA
   Fundadora do Vale PCD


(REQ. Nº 64/2023-CPD, de autoria do deputado Duarte Jr.)";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
"71712";"https://dadosabertos.camara.leg.br/api/v2/eventos/71712";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376167";"2023-12-19T15:46:17";"2023-12-19T17:58:14";"Encerrada (Final)";"(Req. 317/2023/CSAUDE, do Dep. Zé Vitor)

. Jarbas Feldner de Barros (confirmado - presencial)
Presidente Eleito - APAE Brasil

. Eliane Pereira dos Santos (confirmada - participação remota)
Assessora Técnica de Saúde - APAE Brasil

. Arnaldo Silva (confirmado - presencial)
Deputado Estadual  - UNIÃO/MG

. Arthur de Almeida Medeiros (confirmado - presencial)
Coordenador-Geral de Saúde da Pessoa com Deficiência - CGSPD/DAET/MS";"Audiência Pública";"";"Anexo II, Plenário 07";"";"";""
"71666";"https://dadosabertos.camara.leg.br/api/v2/eventos/71666";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377403";"2023-12-19T16:44:53";"2023-12-19T18:08:00";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"71706";"https://dadosabertos.camara.leg.br/api/v2/eventos/71706";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2375804";"2023-12-19T17:06:55";"2023-12-19T19:24:27";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 05";"";"";""
"71671";"https://dadosabertos.camara.leg.br/api/v2/eventos/71671";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376323";"2023-12-19T15:30:59";"2023-12-19T17:36:21";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 06";"";"";""
"71535";"https://dadosabertos.camara.leg.br/api/v2/eventos/71535";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2372833";"2023-12-19T14:32:03";"2023-12-19T18:28:44";"Encerrada";"A - Audiência Pública

Tema: Paralisação das negociações sobre a repactuação do Acordo de Mariana


Convidados: 


VITOR EDUARDO DE ALMEIDA SABACK, Secretário da Secretaria Nacional de Geologia, Mineração e Transformação Mineral do Ministério de Minas e Energia;

JUNIOR DIVINO FIDELES, Advogado Adjunto da Advocacia Geral da União
;

THAIS CRISTINA LOPES DE ARAÚJO VILAS BOAS, Coordenadora Adjunta do Comitê Pró-Rio Doce do Governo de Minas Gerais;

PÉRICLES FERREIRA DE ALMEIDA, Procurador do Estado do Espírito Santo;

RAFAEL MELLO PORTELLA CAMPOS,  Defensoria Pública do Estado do Espírito Santo - Defensor Público, Coordenador do Núcleo de Atuação em Desastres e Grandes Empreendimentos - NUDEGE.

CARLOS BRUNO FERREIRA DA SILVA, Procurador Regional dos Direitos do Cidadão do Ministério Público Federal em Minas Gerais;

ELAINE COSTA DE LIMA, Promotora de Justiça e Coordenadora do Grupo de Trabalho de Recuperação do Rio Doce, do Ministério Público do Estado do Espírito Santo;

ISABELLA KAREN ARAÚJO SIMÕES, Defensora da Defensoria Pública da União;

ANTÔNIO LOPES DE CARVALHO FILHO, Defensor Público e Coordenador do Núcleo Estratégico de proteção aos vulneráveis em situação de crise da Defensoria Pública do Estado de Minas Gerais;

THIAGO ALVES, Coordenador do Movimento dos Atingidos por Barragens
;

GEOVANE SOUZA,  Atingido e morador de Baixo guandu / ES

;

VIVIAM ESTEVES, Atingida e moradora de Pedra Corrida, Distrito de Periquito / MG.


(Requerimento n° 1/2023, do Dep. Rogério Correia)


B - Discussão e Votação do Relatório do Relator-Parcial, Deputado Padre João.";"Audiência Pública e Deliberação";"";"Anexo II, Plenário 04";"";"";""
"71663";"https://dadosabertos.camara.leg.br/api/v2/eventos/71663";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376324";"2023-12-19T14:00:00";"";"Cancelada";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"71708";"https://dadosabertos.camara.leg.br/api/v2/eventos/71708";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2375982";"2023-12-19T14:00:00";"";"Cancelada";"Comparecimento da Ministra do Meio Ambiente e Mudança do Clima, Marina Silva, para esclarecer os seguintes temas: 

1) Esclarecimentos acerca do fato de o Instituto de Pesquisa Ambiental da Amazônia (Ipam) ter recebido R$ 35 milhões do Fundo Amazônia em 2022 e ter gasto R$ 24 milhões com consultorias e viagens. (REQ 520/2023 - Dep. Eduardo Bolsonaro);

2) Esclarecimentos sobre os projetos de conservação ambiental realizados por Organizações Não Governamentais e Organizações da Sociedade Civil de Interesse Público, financiadas com recursos do Fundo Amazônia. (REQ 521/2023 - Dep. Junio Amaral);

3) Esclarecer as ações do ministério para enfrentar as queimadas na Amazônia. (REQ 522/2023 - Dep. Kim Kataguiri); e

4) Esclarecer o recebimento de 35 milhões de reais do Fundo Amazônia pela ONG a qual a ministra ocupa cargo de conselheira. (REQ 523/2023 - Dep. Kim Kataguiri);

5) Esclarecimentos acerca das medidas que Governo tem adotado para proteger a pesca artesanal. (REQ 528/2023 - Dep. Evair Vieira de Melo);

6) Esclarecimentos acerca de sua alegação de que a culpa pelos 40 mil focos de incêndio no Pantanal Sul-Mato-Grossense, neste ano, é do Jair Bolsonaro. (REQ 530/2023 - Dep. Evair Vieira de Melo)";"Reunião de Comparecimento de Ministro(a)";"";"Anexo II, Plenário 09";"";"";""
"71744";"https://dadosabertos.camara.leg.br/api/v2/eventos/71744";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2379829";"2023-12-19T16:52:00";"2023-12-19T23:39:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"71558";"https://dadosabertos.camara.leg.br/api/v2/eventos/71558";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2372869";"2023-12-19T13:27:37";"2023-12-19T15:55:21";"Encerrada (Final)";"CONVIDADAS:

1. MARA GABRILI, Senadora da República; (**)

2. ANNA PAULA FEMINELLA, Secretária Nacional dos Direitos das Pessoas com Deficiência do Ministério dos Direitos Humanos e da Cidadania; (*)

3. PAGU RODRIGUES, Coordenadora-Geral de Prevenção de Violência contra as Mulheres da Secretaria Nacional de Enfrentamento à Violência contra as Mulheres do Ministério das Mulheres (*)

4. PRISCILLA CAROLINE DE SOUSA BRITO, Assessora Técnica da Coordenação de Atenção à Saúde da Mulher; ARTHUR DE ALMEIDA MEDEIROS, Coordenador-Geral de Saúde da Pessoa com Deficiência; ambos do Ministério da Saúde; (*)

5. MONICA ALVES SILVA, Coordenadora de Proteção Social Especial de Média Complexidade do Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome; (*)

6. MARIVALDO DE CASTRO PEREIRA, Secretário de Acesso à Justiça Ministério da Justiça e Segurança Pública; (*)

7. MARIA DA PENHA, Fundadora Presidente do Instituto Maria da Penha; (**)

8. NEUSA MARIA, Co-autora do Projeto Eu Me Protejo - Fundadora/Coordenadora da Frente Nacional de Mulheres com Deficiência; (*)

9. TEREZA NELMA, Ex-Deputada Federal, Psicóloga e especialista em educação especial; (*)

10. ROSANA LAGO, Fundadora e Coordenadora da Frente Nacional das Mulheres com Deficiência; (*)

11. LUCIANA TRINDADE, Secretária Nacional dos Direitos das Pessoas com Deficiência do PSB Inclusão (*)


LEGENDA:
(  ) a confirmar
(*) confirmado
(**) não virá


(Requerimentos nºs 65/23-CPD, de autoria da Deputada Andreia Siqueira; 105/23-CMulher, de autoria da Deputada Lêda Borges; e 308/23-CSAUDE, de autoria da Deputada Iza Arruda)";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
