comunidade | id_deputado |                                nome | sigla_partido | sigla_uf | votacoes_validas | qtd_conexoes | grau_ponderado
-----------+-------------+-------------------------------------+---------------+----------+------------------+--------------+---------------
         1 |      220674 |               Dra. Alessandra Haber |          PODE |       PA |              644 |          329 |       203.8487
         1 |      220712 |                          Fausto Jr. |         UNIAO |       AM |              729 |          311 |       202.3143
         1 |      178886 |                     Juscelino Filho |          PSDB |       MA |              363 |          311 |       202.1595
         1 |      141459 |                           João Maia |            PP |       RN |              886 |          314 |       201.7532
         1 |      150418 |                      Márcio Marinho |  REPUBLICANOS |       BA |              882 |          311 |       200.8357
         1 |      160510 |                           Luis Tibé |        AVANTE |       MG |              464 |          314 |       200.6006
         1 |      220713 |                       Saullo Vianna |           MDB |       AM |              525 |          328 |       200.0431
         1 |      204391 |                          José Nelto |         UNIAO |       GO |              647 |          331 |       199.5580
         1 |      178895 |                      Misael Varella |           PSD |       MG |              827 |          347 |       198.6201
         1 |      220635 |                         Bruno Ganem |          PODE |       SP |             1006 |          358 |       197.1320
         1 |      204436 |                 Isnaldo Bulhões Jr. |           MDB |       AL |              321 |          309 |       196.9695
         1 |      220544 |                     Antonio Andrade |  REPUBLICANOS |       TO |             1022 |          291 |       196.4187
         1 |      230957 |                           João Cury |           MDB |       SP |              362 |          309 |       195.5969
         1 |      226837 |                       Saulo Pedroso |           PSD |       SP |              680 |          346 |       195.4802
         1 |      204356 |                          Amaro Neto |  REPUBLICANOS |       ES |             1036 |          290 |       195.0637
         1 |      220672 |                     Henderson Pinto |           MDB |       PA |              863 |          299 |       193.7263
         1 |      160512 |                       Aureo Ribeiro | SOLIDARIEDADE |       RJ |              811 |          319 |       193.5260
         1 |      220567 |                  Jeferson Rodrigues |  REPUBLICANOS |       GO |              789 |          284 |       193.5069
         1 |      227660 |                             Nitinho |           PSD |       SE |              328 |          297 |       193.4785
         1 |      204560 |                        Adolfo Viana |          PSDB |       BA |              636 |          298 |       192.9831
         1 |      160599 |                       Dimas Fabiano |            PP |       MG |              906 |          296 |       191.3253
         1 |      204456 |                      Gutemberg Reis |           MDB |       RJ |              982 |          335 |       191.1758
         1 |      204504 |                Cezinha de Madureira |           PSD |       SP |              924 |          302 |       190.6360
         1 |      220624 |                      Robinson Faria |            PP |       RN |             1055 |          302 |       189.8129
         1 |      204491 |                     Gilberto Abramo |  REPUBLICANOS |       MG |              810 |          290 |       189.5586
         1 |      122158 |                         Pedro Paulo |           PSD |       RJ |              572 |          336 |       188.4892
         1 |      204379 |                      Acácio Favacho |           MDB |       AP |              823 |          297 |       187.2054
         1 |      205550 |                          Jorge Braz |  REPUBLICANOS |       RJ |             1004 |          283 |       187.0583
         1 |      220648 |                           Marangoni |         UNIAO |       SP |              787 |          292 |       186.7501
         1 |      138286 |                       Luciano Alves |           PSD |       PR |              692 |          330 |       186.1612
         1 |      217480 |                         Jones Moura |           PSD |       RJ |              149 |          277 |       185.4393
         1 |       74095 |                   Pauderney Avelino |         UNIAO |       AM |              515 |          308 |       184.9697
         1 |      222429 |                   Luis Carlos Gomes |  REPUBLICANOS |       RJ |              892 |          281 |       182.9596
         1 |      220534 |                       Fred Linhares |  REPUBLICANOS |       DF |              952 |          282 |       182.2482
         1 |      204539 |               Hercílio Coelho Diniz |           MDB |       MG |              731 |          294 |       182.1185
         1 |      204506 |                      Marcos Pereira |  REPUBLICANOS |       SP |              620 |          283 |       182.0450
         1 |      204474 |                        Juarez Costa |           MDB |       MT |              673 |          292 |       180.5528
         1 |       73778 |                   Luiz Carlos Hauly |          PODE |       PR |              767 |          313 |       180.0684
         1 |       74356 |                        Silas Câmara |  REPUBLICANOS |       AM |              626 |          277 |       179.2782
         1 |      141485 |                  Luiz Carlos Busato |         UNIAO |       RS |              951 |          283 |       179.0964
         1 |      160588 |                       Diego Andrade |           PSD |       MG |              644 |          294 |       178.6594
         1 |      204372 |                 Julio Cesar Ribeiro |  REPUBLICANOS |       DF |              737 |          266 |       178.4063
         1 |       73441 |                    Celso Russomanno |  REPUBLICANOS |       SP |              816 |          283 |       178.0940
         1 |      160600 |                Arthur Oliveira Maia |         UNIAO |       BA |              658 |          274 |       178.0482
         1 |      178843 |                        Marx Beltrão |            PP |       AL |              834 |          281 |       177.3314
         1 |      230768 |                          Zé Adriano |            PP |       AC |              479 |          266 |       175.2968
         1 |      178881 |                      Aluisio Mendes |  REPUBLICANOS |       MA |              865 |          280 |       175.1886
         1 |       92102 |                 Leur Lomanto Júnior |         UNIAO |       BA |              768 |          272 |       174.9608
         1 |      178993 |              Carlos Henrique Gaguim |         UNIAO |       TO |              957 |          282 |       174.5203
         1 |      137070 |                   Vicentinho Júnior |            PP |       TO |              773 |          277 |       174.2299
         1 |      220631 |                        Samuel Viana |  REPUBLICANOS |       MG |              928 |          272 |       174.0341
         1 |      220540 |                          Duda Ramos |           MDB |       RR |              699 |          308 |       172.2152
         1 |      220683 |                          Beto Richa |          PSDB |       PR |             1028 |          281 |       171.7660
         1 |      220599 |                    Marcelo Crivella |  REPUBLICANOS |       RJ |              971 |          279 |       171.6876
         1 |      220647 |                      Mauricio Neves |            PP |       SP |              627 |          274 |       171.6073
         1 |      178831 |                         André Abdon |            PP |       AP |              289 |          241 |       171.2275
         1 |      220566 |                         Lêda Borges |          PSDB |       GO |              752 |          287 |       170.0513
         1 |       73788 |                      Ricardo Barros |            PP |       PR |              341 |          238 |       169.4594
         1 |      179001 |                      Márcio Biolchi |           MDB |       RS |              783 |          278 |       168.2056
         1 |      178884 |                         Hildo Rocha |           MDB |       MA |              539 |          306 |       167.2587
         1 |      204540 |                         Maria Rosas |  REPUBLICANOS |       SP |              958 |          276 |       166.9993
         1 |      204450 |                     Doutor Luizinho |            PP |       RJ |              276 |          237 |       166.7792
         1 |      141516 |                     Paulo Abi-Ackel |          PSDB |       MG |              781 |          273 |       166.7181
         1 |      204497 |                      Júnior Ferrari |           PSD |       PA |              902 |          288 |       166.1586
         1 |      178876 |                      Célio Silveira |           MDB |       GO |              730 |          279 |       163.4747
         1 |      221329 |                       Ricardo Abrão |         UNIAO |       RJ |              469 |          245 |       163.1152
         1 |      219585 |                        Marco Brasil |            PP |       PR |              512 |          258 |       162.4312
         1 |      220616 |                      Luciano Vieira |          PSDB |       RJ |              823 |          266 |       161.3608
         1 |      143084 |                         Tiago Dimas |          PODE |       TO |              282 |          239 |       160.8060
         1 |      162332 |                      Luiz Nishimori |           PSD |       PR |              792 |          278 |       160.6666
         1 |      204482 |                  Euclydes Pettersen |  REPUBLICANOS |       MG |              498 |          258 |       160.6507
         1 |      204355 |                          Da Vitoria |            PP |       ES |              992 |          271 |       160.3112
         1 |      103758 |                     Luciano Azevedo |           PSD |       RS |              371 |          302 |       159.9035
         1 |       74696 |                      Alberto Mourão |           MDB |       SP |              299 |          261 |       158.1306
         1 |      220600 |                              Lebrão |         UNIAO |       RO |              546 |          257 |       156.9275
         1 |      141555 |                   Vinicius Carvalho |  REPUBLICANOS |       SP |              702 |          261 |       156.6807
         1 |      220702 |                      Geraldo Mendes |         UNIAO |       PR |              690 |          263 |       156.4780
         1 |      220685 |                         Paulo Litro |           PSD |       PR |              945 |          274 |       156.3331
         1 |      213274 |                       Ricardo Silva |           PSD |       SP |              295 |          264 |       156.3015
         1 |      220532 |                     Rafael Prudente |           MDB |       DF |              783 |          259 |       156.0405
         1 |       92776 |                      Stefano Aguiar |           PSD |       MG |              688 |          270 |       154.7585
         1 |      204512 |            Delegado Marcelo Freitas |         UNIAO |       MG |             1025 |          261 |       153.2356
         1 |      178933 |                        Sergio Souza |           MDB |       PR |              808 |          261 |       152.8553
         1 |      233598 |                       Samuel Santos |          PODE |       GO |              171 |          232 |       151.3150
         1 |      220603 |                          Dani Cunha |         UNIAO |       RJ |              877 |          258 |       151.0488
         1 |      178854 |                    Elmar Nascimento |         UNIAO |       BA |              317 |          228 |       150.7915
         1 |      204571 |                        Alex Santana |  REPUBLICANOS |       BA |              652 |          253 |       149.6721
         1 |      141391 |                      Arnaldo Jardim |     CIDADANIA |       SP |              741 |          266 |       149.6192
         1 |      178962 |                        Carlos Gomes |  REPUBLICANOS |       RS |              254 |          242 |       148.1311
         1 |      204448 |                 Luiz Antônio Corrêa |            PP |       RJ |              290 |          222 |       147.3603
         1 |      178860 |                           Paulo Azi |         UNIAO |       BA |              782 |          261 |       147.0751
         1 |       74065 |                       Fatima Pelaes |  REPUBLICANOS |       AP |              151 |          225 |       146.4452
         1 |      163321 |                    Ronaldo Nogueira |  REPUBLICANOS |       RS |              676 |          250 |       145.6663
         1 |       62881 |                        Danilo Forte |         UNIAO |       CE |              771 |          258 |       144.7996
         1 |      215043 |                        Josivaldo JP |           PSD |       MA |              824 |          257 |       143.7294
         1 |      204524 |                         Pinheirinho |            PP |       MG |              416 |          235 |       143.1910
         1 |      230762 |              Pastor Claudio Mariano |         UNIAO |       PA |              273 |          215 |       143.1893
         1 |      178909 |                         Hélio Leite |         UNIAO |       PA |              276 |          242 |       142.9196
         1 |      220560 |                    Thiago de Joaldo |            PP |       SE |              801 |          257 |       142.0518
         1 |      220684 |                       Tião Medeiros |            PP |       PR |              779 |          249 |       139.8919
         1 |      178992 |                         Vitor Lippi |          PSDB |       SP |              865 |          266 |       139.8161
         1 |      220642 |                 Delegado Bruno Lima |            PP |       SP |              615 |          259 |       136.4699
         1 |      204498 |                      Olival Marques |           MDB |       PA |              880 |          251 |       136.0392
         1 |      220572 |                     Marussa Boldrin |           MDB |       GO |              622 |          247 |       135.1188
         1 |      220542 |                 Alexandre Guimarães |           MDB |       TO |              810 |          247 |       134.7359
         1 |      204550 |                         Júnior Mano |           PSB |       CE |              423 |          263 |       134.4282
         1 |       98057 |                Lafayette de Andrada |  REPUBLICANOS |       MG |              658 |          239 |       134.3879
         1 |      175765 |                       Ribamar Silva |           PSD |       SP |              418 |          233 |       132.8803
         1 |      204557 |                        Sidney Leite |           PSD |       AM |              861 |          273 |       132.6715
         1 |       74646 |                         Aécio Neves |          PSDB |       MG |              563 |          237 |       129.7074
         1 |      220570 |              Dr. Ismael Alexandrino |           PSD |       GO |              793 |          245 |       128.7067
         1 |      178896 |                   Newton Cardoso Jr |           MDB |       MG |              508 |          226 |       128.1961
         1 |      204358 |                        Beto Pereira |          PSDB |       MS |              792 |          238 |       122.0162
         1 |      204419 |                   Glaustin da Fokus |          PODE |       GO |              634 |          230 |       120.4931
         1 |       73768 |                    Dilceu Sperafico |            PP |       PR |              989 |          235 |       119.7311
         1 |      229939 |                        Newton Bonin |         UNIAO |       PR |              126 |          175 |       117.5811
         1 |      204361 |                     Carlos Chiodini |           MDB |       SC |              385 |          217 |       117.2732
         1 |       74270 |                 Gilberto Nascimento |           PSD |       SP |              292 |          214 |       117.2549
         1 |      178972 |                        Alex Manente |     CIDADANIA |       SP |              470 |          213 |       115.4046
         1 |      220630 |                        Pedro Aihara |           PRD |       MG |              892 |          234 |       112.4284
         1 |      160545 |                     Alexandre Leite |         UNIAO |       SP |              448 |          207 |       111.2019
         1 |      220625 |                       Delegada Ione |        AVANTE |       MG |              840 |          216 |       107.3804
         1 |      141450 |                           Hugo Leal |           PSD |       RJ |              710 |          213 |       104.5436
         1 |      204476 |                    Chiquinho Brazão |         UNIAO |       RJ |              180 |          192 |       103.3167
         1 |      234673 |                     Vanderlan Alves |  REPUBLICANOS |       CE |              138 |          179 |       102.9448
         1 |      227433 |                      Douglas Viegas |         UNIAO |       SP |              637 |          209 |       101.9751
         1 |      116379 |                      Darci de Matos |           PSD |       SC |              243 |          191 |        97.7730
         1 |      220649 |                   Delegado da Cunha |            PP |       SP |              775 |          191 |        94.5047
         1 |      214694 |                       Jorge Goetten |  REPUBLICANOS |       SC |              843 |          185 |        94.0678
         1 |      220563 |                     Icaro de Valmir |            PL |       SE |              847 |          170 |        81.9216
         1 |      141518 |                   Paulinho da Força | SOLIDARIEDADE |       SP |              390 |          161 |        79.8969
         1 |      220698 |                          Beto Preto |           PSD |       PR |              132 |          131 |        79.7515
         1 |      178929 |                        Diego Garcia |  REPUBLICANOS |       PR |              888 |          162 |        76.5446
         1 |      220650 |             Paulo Alexandre Barbosa |          PSDB |       SP |              945 |          168 |        76.3395
         1 |      220651 |                    Simone Marquetto |           MDB |       SP |              732 |          159 |        73.7643
         1 |      204410 |                      Luisa Canziani |           PSD |       PR |              620 |          148 |        69.8562
         1 |      220626 |                       Rafael Simoes |         UNIAO |       MG |              928 |          146 |        66.8061
         1 |      233594 |                         Rafael Fera |          PODE |       RO |              257 |          142 |        65.9791
         1 |      204353 |                        Aline Gurgel |         UNIAO |       AP |              112 |           73 |        55.1036
         1 |      220551 |                     Franciane Bayer |  REPUBLICANOS |       RS |              966 |          114 |        53.2213
         1 |      226179 |                       Gisela Simona |         UNIAO |       MT |              970 |          116 |        52.2709
         1 |       74084 |                     Raimundo Santos |           PSD |       PA |             1034 |           95 |        44.0420
         1 |      204441 |                      Otoni de Paula |           MDB |       RJ |              687 |           95 |        41.8582
         1 |      220627 |                     Paulinho Freire |         UNIAO |       RN |              426 |           48 |        22.6946
         1 |      178943 |                       Marcos Soares |          PSDB |       RJ |              518 |           47 |        21.4617
         1 |      220618 |                   Sargento Portugal |          PODE |       RJ |              960 |           47 |        21.4271
         1 |      220638 |            Antonio Carlos Rodrigues |            PL |       SP |              961 |           38 |        19.1630
         1 |      204522 |                    Marco Bertaiolli |           PSD |       SP |              107 |           27 |        14.6163
         1 |      220653 |                        Fábio Teruel |           MDB |       SP |              962 |            6 |         2.6373
         1 |      225727 |                            Flavinha |           MDB |       MT |              104 |            4 |         1.9315
         2 |      204444 |                         Helio Lopes |            PL |       RJ |              753 |          145 |       111.2276
         2 |      220545 |                      Filipe Martins |            PL |       TO |              930 |          145 |       110.7408
         2 |      160640 |                       Eros Biondini |            PL |       MG |              901 |          146 |       110.6650
         2 |      204518 |                       Dr. Frederico |           PRD |       MG |              797 |          148 |       110.6321
         2 |      160558 |                  Paulo Freire Costa |            PL |       SP |              881 |          148 |       110.2895
         2 |      178908 |                 Delegado Éder Mauro |            PL |       PA |              727 |          147 |       110.1651
         2 |      204462 |                      Chris Tonietto |            PL |       RJ |              859 |          141 |       110.0974
         2 |      220595 |                    Coronel Fernanda |            PL |       MT |              863 |          146 |       109.9553
         2 |      160758 |                      Domingos Sávio |            PL |       MG |              864 |          150 |       109.8978
         2 |      220546 |                    Rodolfo Nogueira |            PL |       MS |              979 |          143 |       109.8709
         2 |      220611 |                    General Pazuello |            PL |       RJ |              931 |          147 |       109.5930
         2 |      204481 |                          Dr. Jaziel |            PL |       CE |              873 |          146 |       109.5438
         2 |      204388 |                          Bibo Nunes |            PL |       RS |              961 |          146 |       109.4657
         2 |      161550 |                    Emidinho Madeira |            PL |       MG |              682 |          147 |       109.3423
         2 |      204374 |                           Bia Kicis |            PL |       DF |              927 |          146 |       109.0689
         2 |      220621 |                  Sargento Gonçalves |            PL |       RN |              943 |          141 |       109.0038
         2 |       74273 |                    Jefferson Campos |            PL |       SP |              900 |          148 |       108.9632
         2 |      220628 |                   Mauricio do Vôlei |            PL |       MG |              877 |          144 |       108.9047
