Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
      74060 |                      Daniel Almeida |                 270 |                     0 |          0.00
     220582 |                      Daniel Barbosa |                  47 |                     0 |          0.00
     204367 |                      Daniel Freitas |                 274 |                     0 |          0.00
     204409 |                     Daniel Trzeciak |                 110 |                     0 |          0.00
     204459 |                 Daniela do Waguinho |                  70 |                     0 |          0.00
      62881 |                        Danilo Forte |                 301 |                     0 |          0.00
     160552 |          Danrlei de Deus Hinterholz |                  12 |                     0 |          0.00
     116379 |                      Darci de Matos |                  65 |                     0 |          0.00
     204511 |                        David Soares |                 297 |                     0 |          0.00
     220642 |                 Delegado Bruno Lima |                 105 |                     0 |          0.00
     220673 |                    Delegado Caveira |                 324 |                     0 |          0.00
     220583 |                Delegado Fabio Costa |                 318 |                     0 |          0.00
     204512 |            Delegado Marcelo Freitas |                 236 |                     0 |          0.00
     220701 |             Delegado Matheus Laiola |                 293 |                     0 |          0.00
     220652 |                    Delegado Palumbo |                 191 |                     0 |          0.00
     220705 |                    Deltan Dallagnol |                 178 |                     0 |          0.00
     160599 |                       Dimas Fabiano |                  53 |                     0 |          0.00
     220602 |                       Dimas Gadelha |                 265 |                     0 |          0.00
     227433 |                      Douglas Viegas |                  10 |                     0 |          0.00
     204450 |                     Doutor Luizinho |                 368 |                     0 |          0.00
     227401 |                      Dr Fabio Rueda |                   2 |                     0 |          0.00
     227991 |                           Dr Flávio |                  27 |                     0 |          0.00
     204518 |                       Dr. Frederico |                 397 |                     0 |          0.00
     204481 |                          Dr. Jaziel |                 152 |                     0 |          0.00
     204351 |                     Dr. Luiz Ovando |                 260 |                     0 |          0.00
     220528 |                 Dr. Victor Linhalis |                 336 |                     0 |          0.00
     227800 |                 Duarte Gonçalves Jr |                   2 |                     0 |          0.00
     220540 |                          Duda Ramos |                 293 |                     0 |          0.00
      92346 |                   Eduardo Bolsonaro |                 339 |                     0 |          0.00
     204364 |                          Eli Borges |                 147 |                     0 |          0.00
     226553 |                         Eliane Braz |                   9 |                     0 |          0.00
     229585 |                   Elisangela Araujo |                  16 |                     0 |          0.00
     178854 |                    Elmar Nascimento |                 346 |                     0 |          0.00
     218086 |                          Ely Santos |                  28 |                     0 |          0.00
     198783 |               Emanuel Pinheiro Neto |                 201 |                     0 |          0.00
     161550 |                    Emidinho Madeira |                 327 |                     0 |          0.00
     225730 |                Enfermeira Ana Paula |                  85 |                     0 |          0.00
     230765 |                   Enfermeira Rejane |                  32 |                     0 |          0.00
     132504 |                          Enio Verri |                  27 |                     0 |          0.00
     220663 |                   Eriberto Medeiros |                 412 |                     0 |          0.00
     160640 |                       Eros Biondini |                 319 |                     0 |          0.00
