ano_dados;eixo_principal;sigla_partido;sigla_uf;id_deputado;nome;voto_sim;voto_nao;voto_abstencao;voto_outro;votos_total;votos_classificados
2023;Ambiental e energetico;PL;MG;161550;EMIDIO ALVES MADEIRA JUNIOR;4;1;0;0;5;5
2023;Ambiental e energetico;PL;MG;179000;MARCELO HENRIQUE TEIXEIRA DIAS;8;0;0;0;8;8
2023;Ambiental e energetico;PL;MG;204517;JOSE VITOR DE RESENDE AGUIAR;3;0;0;0;3;3
2023;Ambiental e energetico;PL;MG;204520;GERALDO JUNIO DO AMARAL;4;0;0;0;4;4
2023;Ambiental e energetico;PL;MG;209787;NIKOLAS FERREIRA DE OLIVEIRA;6;2;0;0;8;8
2023;Ambiental e energetico;PL;MG;220620;ROSANGELA DE OLIVEIRA CAMPOS REIS;11;2;0;0;13;13
2023;Ambiental e energetico;PL;MG;220628;MAURICIO LUIZ DE SOUZA;4;1;0;0;5;5
2023;Ambiental e energetico;PL;MG;220631;SAMUEL JOSÉ RODRIGUES DE VIANA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;MG;74585;LINCOLN DINIZ PORTELA;8;2;0;0;10;10
2023;Ambiental e energetico;PL;MS;220546;RODOLFO OLIVEIRA NOGUEIRA;9;1;0;0;10;10
2023;Ambiental e energetico;PL;MS;220547;MARCOS SBOROWSKI POLLON;12;2;0;0;14;14
2023;Ambiental e energetico;PL;MT;204472;JOSE ANTONIO DOS SANTOS MEDEIROS;10;2;0;0;12;12
2023;Ambiental e energetico;PL;MT;220593;ABILIO JACQUES BRUNINI MOUMER;7;2;1;0;10;10
2023;Ambiental e energetico;PL;MT;220595;RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA;13;4;0;0;17;17
2023;Ambiental e energetico;PL;MT;220596;AMÁLIA SCUDELER DE BARROS SANTOS;9;1;0;0;10;10
2023;Ambiental e energetico;PL;PA;178908;EDER MAURO CARDOSO BARRA;10;1;0;0;11;11
2023;Ambiental e energetico;PL;PA;178910;JOAQUIM PASSARINHO PINTO DE SOUZA PORTO;7;3;0;0;10;10
2023;Ambiental e energetico;PL;PA;220673;LENILDO MENDES DOS SANTOS SERTÃO;7;1;0;0;8;8
2023;Ambiental e energetico;PL;PB;220574;GILBERTO GOMES DA SILVA;9;1;0;0;10;10
2023;Ambiental e energetico;PL;PB;74043;JOSÉ WELLINGTON ROBERTO;8;1;0;0;9;9
2023;Ambiental e energetico;PL;PE;160642;FRANCISCO EURICO DA SILVA;7;0;0;0;7;7
2023;Ambiental e energetico;PL;PE;204423;ANDRÉ FERREIRA RODRIGUES;6;1;0;0;7;7
2023;Ambiental e energetico;PL;PE;204427;FERNANDO RODOLFO TENORIO DE VASCONCELOS;8;2;0;0;10;10
2023;Ambiental e energetico;PL;PE;220666;LUIZ DE FRANÇA E SILVA MEIRA;13;2;0;0;15;15
2023;Ambiental e energetico;PL;PR;204396;NELSI COGUETTO MARIA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;PR;204411;FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO;4;0;0;0;4;4
2023;Ambiental e energetico;PL;PR;74383;FERNANDO LÚCIO GIACOBO;8;0;0;0;8;8
2023;Ambiental e energetico;PL;RJ;178937;ALTINEU CÔRTES FREITAS COUTINHO;2;0;0;0;2;2
2023;Ambiental e energetico;PL;RJ;178946;SORAYA ALENCAR DOS SANTOS;9;1;0;0;10;10
2023;Ambiental e energetico;PL;RJ;178947;SOSTENES SILVA CAVALCANTE;4;1;0;0;5;5
2023;Ambiental e energetico;PL;RJ;204444;HELIO FERNANDO BARBOSA LOPES;8;0;0;0;8;8
2023;Ambiental e energetico;PL;RJ;204455;LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA;9;1;0;0;10;10
2023;Ambiental e energetico;PL;RJ;204460;Carlos Roberto Jordy Coelho de Mattos;12;2;0;0;14;14
2023;Ambiental e energetico;PL;RJ;204462;CHRISTINE NOGUEIRA DOS REIS TONIETTO;7;1;0;0;8;8
2023;Ambiental e energetico;PL;RJ;220611;EDUARDO PAZUELLO;7;2;0;0;9;9
2023;Ambiental e energetico;PL;RJ;220613;ROBERTO LUIZ RODRIGUES DE OLIVEIRA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;RJ;220616;LUCIANO VIEIRA MENDES;9;1;0;0;10;10
2023;Ambiental e energetico;PL;RJ;220619;ALEXANDRE RAMAGEM RODRIGUES;14;2;0;0;16;16
2023;Ambiental e energetico;PL;RN;141459;JOÃO DA SILVA MAIA;5;1;0;0;6;6
2023;Ambiental e energetico;PL;RN;204473;ELIÉSER GIRÃO MONTEIRO FILHO;8;2;0;0;10;10
2023;Ambiental e energetico;PL;RN;220621;EVANDRO GONÇALVES DA SILVA JÚNIOR;9;1;0;0;10;10
2023;Ambiental e energetico;PL;RN;220624;ROBINSON MESQUITA DE FARIA;11;2;0;0;13;13
2023;Ambiental e energetico;PL;RO;204360;SILVIA CRISTINA AMANCIO CHAGAS;7;2;0;0;9;9
2023;Ambiental e energetico;PL;RO;204378;JOÃO CHRISÓSTOMO DE MOURA;8;2;0;0;10;10
2023;Ambiental e energetico;PL;RS;133810;MARCELO PIRES MORAES;7;2;0;0;9;9
2023;Ambiental e energetico;PL;RS;160673;GIOVANI CHERINI;8;2;0;0;10;10
2023;Ambiental e energetico;PL;RS;204388;ALCIBIO MESQUITA BIBO NUNES;9;2;0;0;11;11
2023;Ambiental e energetico;PL;RS;204416;UBIRATAN ANTUNES SANDERSON;9;1;0;0;10;10
2023;Ambiental e energetico;PL;SC;204367;DANIEL COSTA DE FREITAS;7;1;0;0;8;8
2023;Ambiental e energetico;PL;SC;204369;CAROLINE RODRIGUES DE TONI;11;3;0;0;14;14
2023;Ambiental e energetico;PL;SC;214694;JORGE GOETTEN DE LIMA;13;3;0;0;16;16
2023;Ambiental e energetico;PL;SC;220557;DANIELA CRISTINA REINEHR;9;1;0;0;10;10
2023;Ambiental e energetico;PL;SC;220558;MARCOS ANTONIO PEREIRA GOMES;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SC;220559;JULIA PEDROSO ZANATTA;15;3;0;0;18;18
2023;Ambiental e energetico;PL;SE;220563;ICARO BARBOSA COSTA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;160558;PAULO ROBERTO FREIRE DA COSTA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;160601;MARCO ANTÔNIO FELICIANO;10;3;0;0;13;13
2023;Ambiental e energetico;PL;SP;160976;FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA;1;0;0;0;1;1
2023;Ambiental e energetico;PL;SP;178829;JOSE AUGUSTO ROSA;8;2;0;0;10;10
2023;Ambiental e energetico;PL;SP;178983;MARCIO LUIZ ALVINO DE SOUZA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;178985;MIGUEL LOMBARDI;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;204485;LUIZ CARLOS MOTTA;6;1;0;0;7;7
2023;Ambiental e energetico;PL;SP;204507;CARLA ZAMBELLI SALGADO DE OLIVEIRA;4;0;0;0;4;4
2023;Ambiental e energetico;PL;SP;204525;ROSANA DE OLIVEIRA VALLE;7;0;0;0;7;7
2023;Ambiental e energetico;PL;SP;204526;LUIZ PHILIPPE DE ORLEANS BRAGANÇA;4;1;0;0;5;5
2023;Ambiental e energetico;PL;SP;220633;RICARDO DE AQUINO SALLES;7;3;0;0;10;10
2023;Ambiental e energetico;PL;SP;220638;ANTONIO CARLOS RODRIGUES;5;4;0;0;9;9
2023;Ambiental e energetico;PL;SP;220654;PAULO FRANCISCO MUNIZ BILYNSKYJ;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;220655;MARIO LUIS FRIAS;8;1;0;0;9;9
2023;Ambiental e energetico;PL;SP;221328;ADILSON BARROSO OLIVEIRA;6;1;0;0;7;7
2023;Ambiental e energetico;PL;SP;74273;JEFFERSON ALVES DE CAMPOS;8;2;0;0;10;10
2023;Ambiental e energetico;PL;SP;92346;EDUARDO NANTES BOLSONARO;9;1;0;0;10;10
2023;Ambiental e energetico;PL;TO;204364;ELI DIAS BORGES;9;0;0;0;9;9
2023;Ambiental e energetico;PL;TO;220545;FILIPE MARTINS DOS SANTOS;9;1;0;0;10;10
2023;Ambiental e energetico;PODE;BA;204567;RAIMUNDO MAGALHÃES COSTA;5;3;0;0;8;8
2023;Ambiental e energetico;PODE;ES;220528;VICTOR GAROZI LINHALIS;5;7;0;0;12;12
2023;Ambiental e energetico;PODE;ES;220529;GILSON DANIEL BATISTA;6;7;0;0;13;13
2023;Ambiental e energetico;PODE;GO;204419;GLAUSKSTON BATISTA RIOS;4;0;0;0;4;4
2023;Ambiental e energetico;PODE;MA;220681;FÁBIO HENRIQUE DIAS DE MACEDO;8;0;0;0;8;8
2023;Ambiental e energetico;PODE;MG;204508;IGOR TARCIANO TIMO;10;0;0;0;10;10
2023;Ambiental e energetico;PODE;MG;220622;NELI PEREIRA DE AQUINO;8;1;1;0;10;10
2023;Ambiental e energetico;PODE;PB;160629;ROMERO RODRIGUES VEIGA;4;0;0;0;4;4
2023;Ambiental e energetico;PODE;PB;160635;RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR;3;1;0;0;4;4
2023;Ambiental e energetico;PODE;PR;220705;DELTAN MARTINAZZO DALLAGNOL;7;2;0;0;9;9
2023;Ambiental e energetico;PODE;PR;73778;LUIZ CARLOS JORGE HAULY;4;0;0;0;4;4
2023;Ambiental e energetico;PODE;RJ;220618;JOSÉ PORTUGAL NETO;9;1;0;0;10;10
2023;Ambiental e energetico;PODE;RS;220550;MAURICIO BEDIN MARCON;7;1;0;0;8;8
2023;Ambiental e energetico;PODE;SP;178989;RENATA HELLMEISTER DE ABREU;8;0;0;0;8;8
2023;Ambiental e energetico;PODE;SP;220635;BRUNO AREVALO GANEM;6;4;0;0;10;10
2023;Ambiental e energetico;PODE;SP;220641;RODRIGO GAMBALE VIEIRA;8;1;0;0;9;9
2023;Ambiental e energetico;PP;AC;104552;MARIA DO SOCORRO NERI MEDEIROS DE SOUZA;4;4;0;0;8;8
2023;Ambiental e energetico;PP;AC;220587;GEHLEN DINIZ ANDRADE;9;7;0;0;16;16
2023;Ambiental e energetico;PP;AC;220592;JOSÉ ESTEPHAN AMORIM BARBARY FILHO;5;3;0;0;8;8
2023;Ambiental e energetico;PP;AL;160541;ARTHUR CÉSAR PEREIRA DE LIRA;0;0;0;8;8;8
2023;Ambiental e energetico;PP;AL;178843;MARX BELTRÃO LIMA SIQUEIRA;9;1;0;0;10;10
2023;Ambiental e energetico;PP;AL;220582;DANIEL BARBOSA DE ALMEIDA SILVA;3;6;0;0;9;9
2023;Ambiental e energetico;PP;AL;220583;FABIO MICHEY COSTA DA SILVA;6;1;0;0;7;7
2023;Ambiental e energetico;PP;BA;178858;MARIO S. M. NEGROMONTE JR.;7;1;0;0;8;8
2023;Ambiental e energetico;PP;BA;220703;ORLANDO SULZ DE ALMEIDA NETO;8;1;0;0;9;9
2023;Ambiental e energetico;PP;BA;74537;CLÁUDIO CAJADO SAMPAIO;5;0;0;0;5;5
2023;Ambiental e energetico;PP;BA;74550;JOÃO FELIPE DE SOUZA LEÃO;5;3;0;0;8;8
2023;Ambiental e energetico;PP;CE;204549;ANTONIO JOSE AGUIAR ALBUQUERQUE;5;0;0;0;5;5
2023;Ambiental e energetico;PP;ES;178871;EVAIR VIEIRA DE MELO;8;0;0;0;8;8
2023;Ambiental e energetico;PP;ES;204355;JOSIAS MARIO DA VITORIA;9;1;0;0;10;10
2023;Ambiental e energetico;PP;GO;121948;ADRIANO ANTÔNIO AVELAR;9;1;0;0;10;10
2023;Ambiental e energetico;PP;GO;204391;JOSÉ NELTO LAGARES DAS MERCEZ;4;5;0;0;9;9
2023;Ambiental e energetico;PP;MA;178882;ANDRE LUIZ CARVALHO RIBEIRO;5;1;0;0;6;6
2023;Ambiental e energetico;PP;MA;220707;AMANDA KELLY GENTIL GUIMARÃES ROSA;5;0;0;0;5;5
2023;Ambiental e energetico;PP;MA;226708;ALLAN QUADROS GARCÊS;4;0;0;0;4;4
2023;Ambiental e energetico;PP;MG;107970;ANA PAULA PROCOPIO JUNQUEIRA;8;2;0;0;10;10
2023;Ambiental e energetico;PP;MG;160599;DIMAS FABIANO TOLEDO JÚNIOR;8;1;0;0;9;9
2023;Ambiental e energetico;PP;MG;204524;ANTÔNIO PINHEIRO NETO;5;0;0;0;5;5
2023;Ambiental e energetico;PP;MS;204351;LUIZ ALBERTO OVANDO;9;1;0;0;10;10
2023;Ambiental e energetico;PP;PB;160527;AGUINALDO VELLOSO BORGES RIBEIRO;5;1;0;0;6;6
2023;Ambiental e energetico;PP;PB;220585;FRANCISCO EMERSON ASSIS DE LUCENA;9;1;0;0;10;10
2023;Ambiental e energetico;PP;PE;141421;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;8;0;0;0;8;8
2023;Ambiental e energetico;PP;PE;220665;ERICA CLARISSA BORBA CORDEIRO DE MOURA;7;1;0;0;8;8
2023;Ambiental e energetico;PP;PE;220669;LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE;10;0;0;0;10;10
2023;Ambiental e energetico;PP;PE;92699;FERNANDO MONTEIRO DE ALBUQUERQUE;8;1;0;0;9;9
2023;Ambiental e energetico;PP;PI;123086;ÁTILA DE MELO LIRA;8;9;0;0;17;17
2023;Ambiental e energetico;PP;PI;66385;JULIO FERRAZ ARCOVERDE;8;1;0;0;9;9
2023;Ambiental e energetico;PP;PR;178934;ANTONIO WANDSCHEER;10;1;0;0;11;11
2023;Ambiental e energetico;PP;PR;204395;PEDRO DEBONI LUPION MELLO;10;2;0;0;12;12
