Q11_extra - Nuvem de palavras por partido: temas das proposicoes

Q11_extra - Frequencia de temas por partido (todos os anos)
 sigla_partido | tema                                        | frequencia 
 PODE          | Homenagens e Datas Comemorativas            |         55 
 PODE          | Direito Civil e Processual Civil            |         52 
 PODE          | Ciência, Tecnologia e Inovação              |         43 
 PODE          | Processo Legislativo e Atuação Parlamentar  |         43 
 PODE          | Esporte e Lazer                             |         42 
 PODE          | Relações Internacionais e Comércio Exterior |         41 
 PODE          | Agricultura, Pecuária, Pesca e Extrativismo |         34 
 PODE          | Direito e Justiça                           |         31 
 PODE          | Arte, Cultura e Religião                    |         31 
 PODE          | Energia, Recursos Hídricos e Minerais       |         29 
 PODE          | Política, Partidos e Eleições               |         24 
 PODE          | Direito Constitucional                      |         17 
 PODE          | Estrutura Fundiária                         |         13 
 PODE          | Turismo                                     |          9 
 PODEMOS       | Direitos Humanos e Minorias                 |          6 
 PODEMOS       | Homenagens e Datas Comemorativas            |          6 
 PODEMOS       | Saúde                                       |          3 
 PODEMOS       | Trabalho e Emprego                          |          2 
 PODEMOS       | Direito Penal e Processual Penal            |          2 
 PODEMOS       | Educação                                    |          1 
 PODEMOS       | Defesa e Segurança                          |          1 
 PODEMOS       | Direito Civil e Processual Civil            |          1 
 PODEMOS       | Administração Pública                       |          1 
 PODEMOS       | Viação, Transporte e Mobilidade             |          1 
 PODEMOS       | Arte, Cultura e Religião                    |          1 
 PP            | Administração Pública                       |        815 
 PP            | Direitos Humanos e Minorias                 |        657 
 PP            | Finanças Públicas e Orçamento               |        535 
 PP            | Saúde                                       |        533 
 PP            | Defesa e Segurança                          |        410 
 PP            | Educação                                    |        311 
 PP            | Meio Ambiente e Desenvolvimento Sustentável |        285 
 PP            | Direito Penal e Processual Penal            |        266 
 PP            | Trabalho e Emprego                          |        252 
 PP            | Viação, Transporte e Mobilidade             |        250 
 PP            | Indústria, Comércio e Serviços              |        241 
 PP            | Agricultura, Pecuária, Pesca e Extrativismo |        233 
 PP            | Economia                                    |        224 
 PP            | Previdência e Assistência Social            |        184 
 PP            | Homenagens e Datas Comemorativas            |        153 
 PP            | Energia, Recursos Hídricos e Minerais       |        141 
 PP            | Comunicações                                |        115 
 PP            | Arte, Cultura e Religião                    |        114 
 PP            | Relações Internacionais e Comércio Exterior |        108 
 PP            | Cidades e Desenvolvimento Urbano            |        108 
 PP            | Direito e Defesa do Consumidor              |        107 
 PP            | Direito Civil e Processual Civil            |         99 
 PP            | Estrutura Fundiária                         |         91 
 PP            | Esporte e Lazer                             |         75 
 PP            | Direito e Justiça                           |         73 
 PP            | Ciência, Tecnologia e Inovação              |         64 
 PP            | Política, Partidos e Eleições               |         54 
 PP            | Processo Legislativo e Atuação Parlamentar  |         51 
 PP            | Turismo                                     |         49 
 PP            | Direito Constitucional                      |         22 
 PP            | Ciências Exatas e da Terra                  |          3 
 PP            | Ciências Sociais e Humanas                  |          2 
 PRD           | Saúde                                       |        144 
 PRD           | Direitos Humanos e Minorias                 |        115 
